61.01	0.01	0.01	3245.01	0.01	0.01	0.01	0.01	0.01	4521.01	250.01	829.01	826.01	974.01	270.01	1.01	426.01	159.01	0.01	4744.01	0.01	0.01	3482.01	0.01	568.01
0.01	499.01	98.01	0.01	0.01	15.01	0.01	0.01	0.01	1691.01	0.01	0.01	787.01	0.01	0.01	0.01	0.01	0.01	0.01	7309.01	0.01	0.01	2537.01	0.01	405.01
0.01	632.01	172.01	0.01	0.01	0.01	0.01	0.01	87.01	1086.01	0.01	0.01	687.01	0.01	0.01	45.01	0.01	234.01	0.01	6241.01	95.01	0.01	1954.01	0.01	236.01
0.01	427.01	642.01	0.01	230.01	3494.01	0.01	1742.01	0.01	862.01	293.01	0.01	0.01	0.01	0.01	96.01	0.01	0.01	0.01	1445.01	0.01	0.01	449.01	0.01	243.01
0.01	691.01	602.01	0.01	0.01	3500.01	0.01	1231.01	666.01	0.01	0.01	0.01	458.01	0.01	0.01	0.01	119.01	1411.01	0.01	0.01	175.01	0.01	0.01	608.01	0.01
0.01	0.01	531.01	0.01	567.01	0.01	0.01	2311.01	117.01	584.01	891.01	0.01	0.01	0.01	0.01	159.01	200.01	174.01	191.01	0.01	150.01	0.01	0.01	281.01	520.01
0.01	208.01	187.01	0.01	0.01	1543.01	0.01	464.01	0.01	1392.01	0.01	568.01	0.01	0.01	0.01	108.01	171.01	0.01	0.01	0.01	184.01	277.01	0.01	70.01	755.01
0.01	0.01	640.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	4420.01	0.01
4921.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	247.01	0.01	0.01	0.01	0.01	108.01	0.01	3084.01	0.01	0.01	1231.01	0.01	161.01
